Bisaya Word,English Translation,Notes/Context
atong,our (inclusive possessive),genitive of 'kita': atong umaabot = our future
atop,roof,
atubangan,in front / facing side,the area directly ahead
ayaw,don't,negative imperative used to tell someone not to do something
ba,question particle,turns a statement into a yes/no question
baba,mouth / lips,
babay,"""bye / goodbye","casual farewell, equivalent to 'bye' in English"""
Baboy,Pig / Pork,
bag-o,new,
baga,"""thick (for objects, walls, materials)""",
bagyo,typhoon / storm,
baha,flood,
bahaghari,rainbow,
bai,friend / mate (informal term of address),
baka,cow / cattle,
bakaw,mangrove,
baktas,to trek / to walk a long distance on foot,
baktin,piglet / young pig,
balas,sand,
Balay,House / Home,
balde,bucket / pail,
Baligya,Sell,
balik,return / go back,
balikawang,waist / hips,
balod,wave (ocean),
Bana,Husband,
bangka,small boat / outrigger boat,
bangko,bank,
bangon,to wake up / to get up from bed,
banig,woven mat / sleeping mat,
bantay,to watch over / to guard / to look after,
banyo,bathroom,
Barato,Cheap / Affordable,
barko,ship / boat (large),
basa,read,
basag,broken / cracked / shattered,
basin,maybe / perhaps / what if,expresses possibility or caution
baso,glass (drinking),
basta,as long as / just / simply (do it),
basura,trash / garbage,
batan-on,young,
bato,rock / stone,
batya,laundry tub / large washing basin,
bawang,garlic,
bay,buddy / pal (casual term of address between friends),
Bayad,Payment / Pay,
bayanihan,communal spirit / community cooperation,
Bayaw,brother-in-law,
Baynte,Twenty (20),
berde,green,
bibingka,baked rice cake,
bili,buy,
Bill / Kwenta,Bill / Check,
bintana,window,
bisan,even / even if / regardless,concessive particle: Bisan unsa = whatever/anything
bisita,visitor / guest,
biskwit,biscuit / cookie,
biste,dress / clothes (formal),
bitaw,right? / indeed / you know,
bitiis,leg / lower leg / calf,
bitoon,star,
botica,pharmacy / drugstore,
bugas,raw/uncooked rice,
Bugnaw,Cold,
buhat,do / make,
buhi,alive / living,
buhok,hair (on the head),
bukid,mountain / hill / countryside,
bukton,arm,
bulak,flower,
bulan,moon / month,
bulsa,pocket,
buntag,morning,
buok,piece / unit,counter word for individual items (usa ka buok = one piece)
buotan,good / kind / obedient,
bus,bus,
busa,so / therefore,
busog,full (not hungry),
Busog na ko,I'm full,
buwad,dried/salted fish,
buwaya,crocodile,
byahe,trip / journey / travel,
byahero,traveler / someone who travels frequently,
daan,"""old / worn (for objects, not people)""",
Dagan,Run,
dagat,sea / ocean,
daghan,many / a lot,
dagwayan,waterfall,
dahon,leaf,
Dako,Big / Large,
dala,bring / carry,
dalag,yellow,
Dalan,Road / Way / Path,
dali,easy / quick,
dalugdog,thunder,
dalunggan,ear / ears,
Daotan,Bad,
daw,reportedly / apparently / they say,hearsay particle; marks information heard from others
dawat,receive / accept,
day,term of address for a young girl or younger female,
dayon,right away / proceed / then,signals immediate action or sequence
diay,so / I see / it turns out,
Didto,there (far from both),
diha,there,near the listener or visible from the speaker
dila,tongue,
Dili,No / Not,
Dili ko kasabot,I don't understand,
Dili ko mokaon ug,I don't eat,
dili maayo,not good / unwell,
Dinha,there (near listener),
Dinhi,here (near speaker),
diploma,diploma / degree certificate,
Diretso,Straight ahead,
diri,here,near the speaker
diri na,right here / stop here,'diri na lang' is the standard phrase to tell a driver to stop
Dise-nwebe,Nineteen (19),
Dise-otso,Eighteen (18),
Dise-sais,Sixteen (16),
Dise-syete,Seventeen (17),
diwata,nature spirit / deity / goddess,
diyabetes,diabetes,
Doktor,Doctor,
dong,term of address for a young boy or younger male,
Dose,Twelve (12),
drayber,driver,
dugang,add / additional / more,to add to something or an extra portion
dugay,long (time) / slow,
dughan,chest / breast,
dugo,blood,
dugos,honey,
Duha,Two (2),
dula,play,
Dungog,Hear / Listen,
Duol,Near / Close,
duyan,hammock / baby cradle / swing,
dyip,jeepney,
eksamen,exam / test,
empleyado,employee,
engkanto,fairy / enchanted being,
eroplano,airplane,
eskwelahan,school,
estasyon,station / terminal,
estudyante,student,
Extra rice,Extra rice,
gaan,light (not heavy) / become light,
Gabii,Night / Evening,
Gahapon,Yesterday,
gahi,hard / tough,
Gamay,Small / Little,
gana,enthusiasm / appetite / motivation,
gani,indeed / even / in fact,adds emphasis or surprise to a statement
gasgas,scratched / worn out / scuffed,
gata,coconut milk,
gatas,milk,
gawas,go out / exit,
Gihigugma,Love (verb),
gikan,from,
Gimingaw,Miss (someone),
ginhawa,breath / to breathe,
grabe,wow / intense / extreme / incredible,
grado,grade / grade level,
gripo,faucet / tap,
grupo,group / team,
Gugma,Love (noun),
gulay,vegetable(s),
gusto,want / like,
gutom,hungry,having an appetite or need for food
Gutom na ko,I'm hungry,
guwapo,handsome (male),
Gwapa,Beautiful (for women),
Gwapo,Handsome (for men),
gyud,really / indeed / truly,
habol,blanket,
hagdan,stairs / staircase / ladder,
hain,which one,
hala,watch out! / uh-oh! / expression of warning or taunting,
halas,snake,
hamog,dew / mist / fog,
hangin,wind / air,
hangtod,until / up to,
hapak,flat / bland,
Hapit,Stop by / Near,
hapon,afternoon,
harana,serenade,
Hatag,Give,
hawa,move away / leave the area,
hayahay,relaxed / easy-going / comfortable,
hibalo,know / be aware of,to have knowledge of something
higaan,sleeping mat / mattress,
Higala,Friend,
higda,lie down,
higot,string / tie / lace,
hilak,to cry / tears,
hilanat,fever,
Hinay,Slow,
Hinay-hinay lang,Slowly please,
hinog,ripe / mature,
Hipag,sister-in-law,
ho,"""polite particle","softer variant of 'po', used the same way in Bisaya and Tagalog-influenced speech"""
hoy,hey! (to get attention),
hubad,to remove clothing / to undress / to translate (text),
hubag,swollen,
hugas,wash (dishes/hands),
hugaw,dirty / unclean,
hulat,wait,
hulog,fall / drop / pay installment,
human,after / when done,
humba,humba,Cebuano braised pork belly with tausi and banana blossoms
humot,fragrant / smells good,
hunahuna,to think / a thought / an idea,
igsoon,sibling (brother or sister),
Ikaw,You (singular),
ilong,nose,
imoha,yours (standalone possessive),emphasizes that something belongs to you
imong,your (possessive before noun),2nd person singular genitive: imong ngalan = your name
inahan,mother (formal / literary),
inihaw,grilled / barbecued,
Init,Hot,
Init kaayo,Very hot,
Inom,Drink,
internet,internet,
inubos,all consumed / all used up,
iring,cat,
iro,dog,
isa,one,the number 1 (native Bisaya form)
Isda,Fish,
itlog,egg,
itom,black,
iyaan,aunt,
iyang,his / her (possessive before noun),3rd person singular genitive: iyang balay = his/her house
jowa,partner / boyfriend / girlfriend (casual slang),
ka,you (singular clitic,2nd person short form)
kaadlawon,dawn / very early morning (before sunrise),
kaayo,very / really / a lot,
kabaw,water buffalo / carabao,
kabayo,horse,
Kada adlaw,Every day,
kadiyot,a moment / a little while,short period of time (Kadiyot lang = just a moment)
Kadto,that (far from both / past),
kaha,I wonder / maybe (speculative),
kahadlok,fear,
kahayag,brightness / hope / light,
kahilusan,loneliness,
kahimsog,health / wellness,
kahoy,tree / wood,
kahuyang,weakness / vulnerability,
kakapoy,exhaustion / extreme tiredness,
kalan,stove / cooking stove,
kaldero,cooking pot,
kalinaw,peace / calmness,
kalipay,happiness / joy,
kalo,hat / cap,
kama,bed,
kamatis,tomato,
kamera,camera,
Kami,We (exclusive),
kamiseta,t-shirt / undershirt,
kamo,you all / you (plural),
kamot,hand / hands,
kamote,sweet potato,
Kan-on,Cooked rice,
Kana,that (near listener),
kandila,candle,
kanding,goat,
kani,this / this one,refers to something near the speaker
kaniadto,before / in the past,
kanimo,to you / for you,oblique/indirect object form of 'ka'
kanta,to sing / a song,
kanto,corner / street corner,the intersection or corner of streets
kanunay,always / constantly,
Kanus-a,When,
Kaon,Eat,
Kaon ta!,Let's eat!,
kapawa,light / brightness (natural daylight),
kape,coffee,
kapoy,tired / weary / exhausted,
karne,meat,
Karon,Now / Today,
Karong buntag,This morning,
Karong gabii,Tonight,
Kasal,Wedding / Marriage,
kasilyas,toilet / bathroom / comfort room,the restroom
kasubo,sadness / sorrow,
kasuko,anger,
katawa,to laugh / laughter,
katingala,surprise / amazement,
Katorse,Fourteen (14),
katrabahoan,coworker / colleague,
katunga,half / one half,
kauyoan,cousin,
kay,because / for (reason),
kidlat,lightning,
kilid,beside / side,the area next to something
kinabuhi,life / livelihood / existence,
kinahanglan,need / must / necessary,expresses requirement or obligation
Kini,this (near speaker),
kinilaw,kinilaw,raw fish or seafood marinated in vinegar and spices
Kinsa,Who,
Kinse,Fifteen (15),
Kita,We (inclusive),
klase,class / lesson,
ko,I / me (clitic,follows verb or predicate)
kolon,rice cooker / pot,
kompyuter,computer,
koral,fence / yard enclosure,
kugos,to hug / to embrace,
Kuha,Get / Take,
kuko,fingernail / toenail,
Kumusta,How are you / Hello,
kurso,course / program of study,
kuryente,electricity,
kusina,kitchen,
kusog,strong / loud / fast,
kuto,head lice,
kutsara,spoon,
kutsilyo,knife,
kuya,older brother / older male,respectful address used especially in the Tagalog-influenced areas
kuyog,companion / group / to accompany,
Kwarenta,Forty (40),
Kwarta,Money,
kwarto,room / bedroom,
laba,do laundry / wash clothes,
lababo,sink,
labad,headache / ache / pain,
laglag,to drop / to fall accidentally,
Lakaw,Walk / Go,
lambong,curtain / drape,
lamesa,table,
Lami,Delicious / Tasty,
lamok,mosquito,
lang,only / just,
Langga,Darling / Dear (endearment),
langgam,ant,
langit,sky / heaven,
lawas,body / physical body,
laway,saliva / drool,
Layo,Far,
Lechon,Roasted pig,
leksyon,lesson,
libo,thousand,
libog,confused / puzzled,
libro,book,
ligo,to bathe / to shower,
lihi,craving during pregnancy / birth mark cause,
Liko,Turn,
Likod,Behind / Back,
Lima,Five (5),
lingaw,to enjoy / to have fun / to be entertained,
lingkod,sit down,
lingkoranan,chair,
liog,neck,
lola,grandmother,
lolo,grandfather,
lubi,"""coconut (mature, for cooking)""",
Lugar,Place / Make room / Seat,
luha,soft / gentle,
lulan,to load / to board (cargo or passengers),
lupad,to fly,
luto,cook,
luya,ginger,
maabtikon,curious / inquisitive,
maalamon,wise / intelligent,
